80806, BUTTER NAAN, KADAI PANEER, CHE SANDWICH, CHE SANDWICH,
86497, PEPSI MIX, COKE MIX,
75519, CHI.PAKODA, PEPSI MIX, BRT CAKES,
77815, CHI.PAKODA, PEPSI MIX, BRT CAKES,
81240, PEPSI MIX, CHE SANDWICH, COKE MIX,
86498, ALOO PARATHA, PEPSI MIX,
108099, FRIED MAGGI, BRT. CAKE, COKE MIX,
108126, LAYS / BINGO, BOURBON,
108761, CHI.TANDURY 1/2, BRT. CAKE, COKE MIX,
109548, BRT. CAKE, OREO@30, COKE MIX,
110233, CHI.PAKODA, BRT. CAKE, COKE MIX,
111206, CHI.PAKODA, BRT. CAKE, COKE MIX,
114819, PLAIN DOSA, CHI.PAKODA,
76073, MAKHANIA LASSI, COKE MIX,
84510, CHI LOLLIPOP, COKE MIX,
76638, ICECREAMSHAKE, CHE SANDWICH,
76741, DAIRY MILK, COKE MIX,
81466, BUTTER NAAN, BUTTER CHICKEN, ICECREAMSHAKE,
91523, CHE SANDWICH, VENDING TOKEN,
92908, VEG PATTY, LAYS / BINGO, COKE MIX, CAPRI SUN,
98997, ICECREAMSHAKE, CHE SANDWICH, VENDING TOKEN,
103666, CHI.TANDURY 1/2, ICECREAMSHAKE,
103802, LAYS / BINGO, COKE MIX,
105540, ICECREAMSHAKE, CHE SANDWICH,
106492, BUTTER NAAN, BUTTER CHICKEN,
109202, BUTTER NAAN, BUTTER CHICKEN, ICECREAMSHAKE,
111744, ICECREAMSHAKE, COKE MIX,
112651, LITTLE HEARTS, ICECREAMSHAKE, COKE MIX,
83575, FRUIT SHAKE, CHE SANDWICH,
84015, FRUIT SHAKE, CHE SANDWICH,
85084, SILK, FRUIT SHAKE, CHE BURGER,
86402, FRUIT SHAKE, CHE SANDWICH,
89168, CHILLI CHICKEN, FRUIT SHAKE,
89334, BARAF KA GOLA /FALUDA, WAFFY,
90383, VEG PASTA, FRUIT SHAKE,
90475, DAIRY MILK, CHE SANDWICH,
94020, BUTTER NAAN, KADAI PANEER,
96376, FRUIT SHAKE, CHE SANDWICH,
96509, LAYS / BINGO, REAL JUICE,
97490, BUTTER NAAN, KADAI PANEER,
99154, LAYS / BINGO, CAPRI SUN,
100047, FRUIT SHAKE, FRIED IDLY,
100126, CHE SANDWICH, CAPRI SUN,
101681, LAYS / BINGO, LITTLE HEARTS, SILK,
101690, VEG PATTY, FRUIT SHAKE,
101712, BRT CAKES, WAFFY,
112234, BRT. CAKE, FRUIT SHAKE,
112847, SILK, FRUIT SHAKE,
113424, BRT. CAKE, ALOO PARATHA,
115079, BUTTER NAAN, KADAI PANEER, CHILLI CHICKEN,
86918, LAYS / BINGO, ALOO PARATHA,
86919, BOURBON, FIVE STAR@20, SLICE,
88280, BUTTER NAAN, BUTTER CHICKEN,
88748, CHE SANDWICH, COKE MIX,
90857, LAYS / BINGO, FIVE STAR@20, COKE MIX,
101984, ICECREAMSHAKE, ALOO PARATHA,
102589, DAIRY MILK, FIVE STAR@20, COKE CAN,
103468, LAYS / BINGO, BOURBON,
107654, BOURBON, D.MILK,
108799, VEG PATTY, BUTTER NAAN, BUTTER CHICKEN, HARABHARA KABAB, COKE MIX,
108836, VEG PATTY, BUTTER NAAN,
108856, LAYS / BINGO, BRT. CAKE, DAIRY MILK, FIVE STAR@20,
76636, CHI.TANDURY 1/2, BUTTER NAAN, BUTTER CHICKEN, COKE MIX,
77845, GOODAY@20, CHOCO PIE, COKE MIX,
78384, CHE SANDWICH, COKE MIX,
79345, LAYS / BINGO, WAFFY,
80202, ALOO PARATHA, PEPSI MIX,
82842, CHI.RICE, LAYS / BINGO, GOODAY@20, ALOO PARATHA, COKE MIX,
84922, ICECREAMSHAKE, CURD,
84951, LAYS / BINGO, WAFFY,
89737, ALOO PARATHA, COKE MIX,
91524, ALOO PARATHA, VENDING TOKEN,
92901, JAM TREAT, LITTLE HEARTS, ALOO PARATHA,
96977, OREO@15, ALOO PARATHA, COKE MIX,
97878, OREO@30, COKE MIX,
101389, ALOO PARATHA, COKE MIX,
102253, ALOO PARATHA, COKE MIX,
103665, BUTTER NAAN, BUTTER CHICKEN, COKE MIX,
103803, CHI.RICE, ALOO PARATHA,
106184, JAM TREAT, ALOO PARATHA, COKE MIX, WAFFY,
107735, CHE BURGER, COKE MIX,
109148, ALOO PARATHA, CURD,
110179, CHI.PAKODA, JAM TREAT, COKE MIX,
111264, CHOCO PIE, CHE SANDWICH,
112543, CHI.RICE, COKE MIX,
113044, ALOO PARATHA, COKE MIX,
116405, ALOO PARATHA, WAFFY,
81050, PLAIN MAGGI, LAYS / BINGO,
82997, PLAIN MAGGI, LAYS / BINGO,
84592, PLAIN MAGGI, PULPY ORANGE,
86174, VEG PASTA, PEPSI MIX,
108122, LAYS / BINGO, COKE CAN,
113537, VEG PATTY, LAYS / BINGO,
115265, LAYS / BINGO, COKE MIX,
103915, FRUIT SHAKE, CHE BURGER,
103882, CHI.RICE, CHOCO PIE, COKE MIX,
107243, FIVE STAR@20, COKE MIX,
75685, BUTTER NAAN, BUTTER CHICKEN, PEPSI MIX,
77769, GOODAY@20, PEPSI MIX,
81521, PULPY ORANGE, PEPSI MIX, BRT CAKES,
84054, LAYS / BINGO, PEPSI MIX, CHE SANDWICH,
85113, LAYS / BINGO, PEPSI MIX,
87217, LAYS / BINGO, PEPSI MIX,
89252, FIVE STAR@20, PEPSI MIX,
93615, LAYS / BINGO, PEPSI MIX,
95214, LAYS / BINGO, PEPSI MIX,
110427, LAYS / BINGO, COKE CAN,
111877, LAYS / BINGO, BRT. CAKE, COKE CAN,
114018, CHE SANDWICH, CHE SANDWICH, COKE MIX,
81469, BUTTER NAAN, CHILLI PANEER,
91771, CHILLI PANEER, PLAIN NAAN,
95645, FRUIT SHAKE, ALOO PARATHA,
107692, BRT. CAKE, VENDING TOKEN,
75631, FRUIT SHAKE, ALOO PARATHA, BUTTER,
91112, ALOO PARATHA, BUTTER,
109154, VEG RICE, ALOO PARATHA,
77159, CHI PASTA, PULPY ORANGE, ALOO PARATHA, CURD, BUTTER,
77215, ICECREAMSHAKE, ALOO PARATHA, CURD, CHE SANDWICH,
77350, PULPY ORANGE, FRUIT SHAKE,
84916, ALOO PARATHA, CURD, MAKHANIA LASSI, BUTTER,
87721, ALOO PARATHA, CURD, MAKHANIA LASSI, BUTTER,
90801, ALOO PARATHA, CURD, MAKHANIA LASSI, BUTTER,
92165, FRUIT SHAKE, ALOO PARATHA, CURD, MAKHANIA LASSI, BUTTER,
97857, ALOO PARATHA, CURD, MAKHANIA LASSI, BUTTER,
105390, ALOO PARATHA, CURD, MAKHANIA LASSI, BUTTER,
106489, ALOO PARATHA, CURD, MAKHANIA LASSI, BUTTER,
108863, BOURBON, ALOO PARATHA, CURD, BUTTER,
109146, ALOO PARATHA, CURD, MAKHANIA LASSI, BUTTER,
110046, ALOO PARATHA, CURD, MAKHANIA LASSI,
110069, BUTTER, VENDING TOKEN, VENDING TOKEN, PULPY NIMBU,
111453, ALOO PARATHA, BUTTER,
116648, LAYS / BINGO, BOURBON,
74850, MASALA DOSA, ICECREAMSHAKE,
79639, FRUIT SHAKE, ALOO PARATHA,
94089, ALOO PARATHA, PANEER FRANKY,
95648, VEG PASTA, PANEER FRANKY,
110636, ALOO PARATHA, ALOO PARATHA,
115380, ALOO PARATHA, FRIED IDLY,
95428, LAYS / BINGO, LITTLE HEARTS,
110750, BUTTER NAAN, BUTTER CHICKEN,
113008, BUTTER NAAN, KADAI PANEER, COKE MIX,
96455, FRUIT SHAKE, PEPSI MIX,
107405, FRUIT SHAKE, CHE SANDWICH,
108921, BOURBON, ALOO PARATHA,
110039, FIVE STAR@20, PULPY ORANGE,
110935, SILK, PULPY ORANGE, ALOO PARATHA,
111473, FRUIT SHAKE, COKE MIX,
112512, FIVE STAR@20, PULPY ORANGE,
93887, CHI PASTA, COKE CAN,
96558, BUTTER NAAN, CHILLI CHICKEN,
98923, BUTTER NAAN, CHILLI CHICKEN,
110751, BUTTER NAAN, CHILLI CHICKEN,
111258, LAYS / BINGO, LITTLE HEARTS,
87723, ALOO PARATHA, MAKHANIA LASSI,
89779, LITTLE HEARTS, ALOO PARATHA,
90787, FRUIT SHAKE, CHE SANDWICH,
90856, FRIED MAGGI, FRUIT SHAKE,
91003, LAYS / BINGO, FRUIT SHAKE,
92843, VEG PATTY, FRUIT SHAKE,
93301, FIVE STAR@20, ALOO PARATHA,
97870, FRUIT SHAKE, CHE BURGER,
97904, VEG PATTY, CHE BURGER,
76743, PLAIN DOSA, FRUIT SHAKE,
76781, FRUIT SHAKE, CHE SANDWICH,
78501, FRUIT SHAKE, CHE SANDWICH,
78529, PLAIN MAGGI, FRUIT SHAKE,
83619, FRUIT SHAKE, ALOO PARATHA, CURD,
83662, FRUIT SHAKE, CHE SANDWICH,
91789, VEG PASTA, FRUIT SHAKE,
91950, CURD, BUTTER,
92020, ALOO PARATHA, CURD, BUTTER,
93880, VEG PASTA, FRUIT SHAKE,
106480, FRUIT SHAKE, ALOO PARATHA, CURD, BUTTER,
89700, MY CAN, WAFFY,
101962, ALOO PARATHA, CHE SANDWICH,
102053, LITTLE HEARTS, COKE CAN, WAFFY,
112967, ALOO PARATHA, CURD,
113023, ALOO PARATHA, COKE MIX,
113557, COKE MIX, WAFFY,
115564, ALOO PARATHA, CHE SANDWICH,
100976, BUTTER NAAN, BUTTER CHICKEN,
111827, BUTTER NAAN, BUTTER CHICKEN,
111856, FRUIT SHAKE, FRUIT SHAKE,
77170, VEG PASTA, FRUIT SHAKE,
78283, CHI.PAKODA, FRUIT SHAKE,
79845, VEG PASTA, FRUIT SHAKE,
82124, VEG PASTA, LAYS / BINGO, FRUIT SHAKE,
83696, FRUIT SHAKE, PEPSI MIX,
85317, LAYS / BINGO, FRUIT SHAKE,
87551, VEG RICE, FRUIT SHAKE,
87589, BOURBON, LITTLE HEARTS, FRUIT SHAKE,
88781, FRUIT SHAKE, CHE SANDWICH,
90646, LAYS / BINGO, FRUIT SHAKE,
99206, LAYS / BINGO, FRUIT SHAKE, VENDING TOKEN,
103879, CHI.RICE, FRUIT SHAKE,
103900, LAYS / BINGO, FRUIT SHAKE,
106542, FRIED MAGGI, FRUIT SHAKE,
106562, FRIED MAGGI, FRUIT SHAKE,
107669, PLAIN MAGGI, FRUIT SHAKE, CHE BURGER,
108682, LAYS / BINGO, BRT. CAKE, BOURBON,
109761, PLAIN MAGGI, FRUIT SHAKE,
110644, FRIED MAGGI, FRUIT SHAKE,
112065, FRUIT SHAKE, VENDING TOKEN,
112918, FRIED MAGGI, FRUIT SHAKE,
114133, LAYS / BINGO, FRUIT SHAKE,
115114, FRIED MAGGI, FRUIT SHAKE, VENDING TOKEN,
74853, VEG PASTA, ALOO PARATHA, BUTTER,
79635, ALOO PARATHA, PANEER FRANKY,
81467, BUTTER NAAN, CHILLI CHICKEN, FRUIT SHAKE, PANEER FRANKY,
81581, MY CAN, BRT CAKES,
90123, BUTTER NAAN, CHILLI CHICKEN,
91773, CHI LOLLIPOP, PANEER FRANKY,
91839, COKE CAN, VENDING TOKEN,
91934, JAM TREAT, FRUIT SHAKE, YAMAMA,
94082, ALOO PARATHA, PANEER FRANKY,
95639, ALOO PARATHA, PANEER FRANKY,
99953, BUTTER NAAN, CHILLI CHICKEN,
113734, BUTTER NAAN, CHILLI CHICKEN,
115387, BUTTER NAAN, CHILLI CHICKEN, VENDING TOKEN,
98876, ICECREAMSHAKE, CHE SANDWICH,
81964, LAYS / BINGO, OREO@30, BOURBON,
94615, ICECREAMSHAKE, PANEER FRANKY,
98656, BUTTER NAAN, CHILLI PANEER,
98693, BOURBON, ICECREAMSHAKE,
76332, CHI.RICE, MY CAN,
86518, MASALA DOSA, FRUIT SHAKE,
88282, PLAIN MAGGI, ALOO PARATHA,
101967, ALOO PARATHA, SAMBHAR VADA,
74844, PEPSI MIX, CHI LOLLIPOP,
76637, BUTTER NAAN, CHILLI CHICKEN,
76745, LITTLE HEARTS, COKE MIX,
81465, BUTTER NAAN, CHILLI CHICKEN,
90122, BUTTER NAAN, CHILLI CHICKEN,
90217, OREO@15, FRUIT SHAKE,
91770, FRUIT SHAKE, CHI LOLLIPOP,
94106, BUTTER NAAN, CHILLI CHICKEN,
94195, OREO@15, VENDING TOKEN,
95650, BUTTER NAAN, CHILLI CHICKEN,
95794, JAM TREAT, FRUIT SHAKE,
99954, BUTTER NAAN, CHILLI CHICKEN,
100039, GOODAY@10, SAMBHAR VADA, VENDING TOKEN,
101894, BUTTER NAAN, CHILLI CHICKEN,
101950, GOODAY@10, COKE MIX, VENDING TOKEN,
107658, BUTTER NAAN, CHILLI PANEER,
107696, BRT. CAKE, FRUIT SHAKE, VENDING TOKEN,
108410, BUTTER NAAN, CHILLI CHICKEN,
108477, BRT. CAKE, GOODAY@10, COKE MIX, VENDING TOKEN,
109188, BUTTER NAAN, CHILLI CHICKEN,
109256, BRT. CAKE, ICECREAMSHAKE,
109993, BRT. CAKE, VENDING TOKEN,
110638, BUTTER NAAN, CHILLI CHICKEN, PANEER FRANKY,
110715, LITTLE HEARTS, FRUIT SHAKE, VENDING TOKEN,
115384, BUTTER NAAN, CHILLI CHICKEN,
115649, BRT. CAKE, COKE MIX, VENDING TOKEN,
88699, ICECREAMSHAKE, CHE SANDWICH,
96097, PLAIN MAGGI, FRUIT SHAKE, CHE SANDWICH,
96266, CHOCO PIE, REAL JUICE,
99222, PULPY ORANGE, REAL JUICE,
104566, PLAIN MAGGI, LITTLE HEARTS, ICECREAMSHAKE,
106180, PULPY ORANGE, FRUIT SHAKE, CHE SANDWICH,
85745, FRUIT SHAKE, CHE SANDWICH,
100981, LAYS / BINGO, LITTLE HEARTS, FRUIT SHAKE, CHE SANDWICH,
103883, LAYS / BINGO, LITTLE HEARTS,
81464, BUTTER NAAN, CHILLI CHICKEN,
94081, BUTTER NAAN, CHILLI CHICKEN,
95649, BUTTER NAAN, CHILLI CHICKEN,
113731, BUTTER NAAN, CHILLI CHICKEN,
113814, FRUIT SHAKE, CHE SANDWICH,
115381, BUTTER NAAN, CHILLI CHICKEN,
94183, ICECREAMSHAKE, CHE SANDWICH,
99548, FRUIT SHAKE, CHE SANDWICH,
101830, ALOO PARATHA, BUTTER,
101905, FRUIT SHAKE, CHE SANDWICH,
101948, EGG RICE, FRUIT SHAKE,
103913, FRUIT SHAKE, CHE BURGER,
115070, ALOO PARATHA, BUTTER,
115116, FRUIT SHAKE, ALOO PARATHA, BUTTER,
93886, BUTTER NAAN, BUTTER CHICKEN,
100988, BUTTER NAAN, BUTTER CHICKEN,
105797, BUTTER NAAN, BUTTER CHICKEN,
110843, BUTTER NAAN, BUTTER CHICKEN,
101087, FALUDA KULFI, ALOO PARATHA,
113097, PULPY ORANGE, ICECREAMSHAKE,
83408, CHILLI CHICKEN, ICECREAMSHAKE,
83452, ICECREAMSHAKE, PANEER FRANKY,
91579, CHILLI CHICKEN, ICECREAMSHAKE,
91642, ICECREAMSHAKE, WAFFY,
101156, ICECREAMSHAKE, SAMBHAR VADA,
101197, ICECREAMSHAKE, SAMBHAR VADA,
112970, PLAIN DOSA, CHILLI PANEER, ICECREAMSHAKE,
115551, BUTTER NAAN, BUTTER CHICKEN, PULPY ORANGE, ICECREAMSHAKE, CHE SANDWICH,
112703, ALOO PARATHA, BUTTER,
